Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SL","Livestock Primary","138","Mexico","684","Fat supply quantity (g/capita/day)","0231","Eggs, hen, in shell","2015","2015","g/capita/day","5","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","684","Fat supply quantity (g/capita/day)","0231","Eggs, hen, in shell","2016","2016","g/capita/day","5","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","684","Fat supply quantity (g/capita/day)","0231","Eggs, hen, in shell","2017","2017","g/capita/day","5","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","684","Fat supply quantity (g/capita/day)","0231","Eggs, hen, in shell","2018","2018","g/capita/day","5","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","261","Calories/Year","0231","Eggs, hen, in shell","2014","2014","million kcal","2965360","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","261","Calories/Year","0231","Eggs, hen, in shell","2015","2015","million kcal","3057943","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","261","Calories/Year","0231","Eggs, hen, in shell","2016","2016","million kcal","3145984","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","261","Calories/Year","0231","Eggs, hen, in shell","2017","2017","million kcal","3196525","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","261","Calories/Year","0231","Eggs, hen, in shell","2018","2018","million kcal","3298063","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","271","Proteins/Year","0231","Eggs, hen, in shell","2014","2014","tonnes","226895","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","271","Proteins/Year","0231","Eggs, hen, in shell","2015","2015","tonnes","233979","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","271","Proteins/Year","0231","Eggs, hen, in shell","2016","2016","tonnes","240715","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","271","Proteins/Year","0231","Eggs, hen, in shell","2017","2017","tonnes","244583","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","271","Proteins/Year","0231","Eggs, hen, in shell","2018","2018","tonnes","252352","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","281","Fats/Year","0231","Eggs, hen, in shell","2014","2014","tonnes","195444","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","281","Fats/Year","0231","Eggs, hen, in shell","2015","2015","tonnes","201546","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","281","Fats/Year","0231","Eggs, hen, in shell","2016","2016","tonnes","207349","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","281","Fats/Year","0231","Eggs, hen, in shell","2017","2017","tonnes","210680","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","281","Fats/Year","0231","Eggs, hen, in shell","2018","2018","tonnes","217372","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","5510","Production","0232","Eggs, other bird, in shell","2015","2015","tonnes","17","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5510","Production","0232","Eggs, other bird, in shell","2016","2016","tonnes","19","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5610","Import Quantity","0232","Eggs, other bird, in shell","2014","2014","tonnes","167","*","Unofficial figure"
"SL","Livestock Primary","138","Mexico","5610","Import Quantity","0232","Eggs, other bird, in shell","2016","2016","tonnes","0","","Official data"
"SL","Livestock Primary","138","Mexico","5610","Import Quantity","0232","Eggs, other bird, in shell","2017","2017","tonnes","35","","Official data"
"SL","Livestock Primary","138","Mexico","5610","Import Quantity","0232","Eggs, other bird, in shell","2018","2018","tonnes","34","","Official data"
"SL","Livestock Primary","138","Mexico","5910","Export Quantity","0232","Eggs, other bird, in shell","2014","2014","tonnes","16","","Official data"
"SL","Livestock Primary","138","Mexico","5910","Export Quantity","0232","Eggs, other bird, in shell","2015","2015","tonnes","17","","Official data"
"SL","Livestock Primary","138","Mexico","5910","Export Quantity","0232","Eggs, other bird, in shell","2016","2016","tonnes","19","","Official data"
"SL","Livestock Primary","138","Mexico","5910","Export Quantity","0232","Eggs, other bird, in shell","2017","2017","tonnes","25","","Official data"
"SL","Livestock Primary","138","Mexico","5910","Export Quantity","0232","Eggs, other bird, in shell","2018","2018","tonnes","4","","Official data"
"SL","Livestock Primary","138","Mexico","5166","Residuals","0232","Eggs, other bird, in shell","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","0232","Eggs, other bird, in shell","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","0232","Eggs, other bird, in shell","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","0232","Eggs, other bird, in shell","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","0232","Eggs, other bird, in shell","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5141","Food supply quantity (tonnes)","0232","Eggs, other bird, in shell","2014","2014","tonnes","151","F","FAO estimate"
"SL","Livestock Primary","138","Mexico","5141","Food supply quantity (tonnes)","0232","Eggs, other bird, in shell","2015","2015","tonnes","0","F","FAO estimate"
"SL","Livestock Primary","138","Mexico","5141","Food supply quantity (tonnes)","0232","Eggs, other bird, in shell","2016","2016","tonnes","0","F","FAO estimate"
"SL","Livestock Primary","138","Mexico","5141","Food supply quantity (tonnes)","0232","Eggs, other bird, in shell","2017","2017","tonnes","11","F","FAO estimate"
"SL","Livestock Primary","138","Mexico","5141","Food supply quantity (tonnes)","0232","Eggs, other bird, in shell","2018","2018","tonnes","31","F","FAO estimate"
"SL","Livestock Primary","138","Mexico","664","Food supply (kcal/capita/day)","0232","Eggs, other bird, in shell","2014","2014","kcal/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","664","Food supply (kcal/capita/day)","0232","Eggs, other bird, in shell","2015","2015","kcal/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","664","Food supply (kcal/capita/day)","0232","Eggs, other bird, in shell","2016","2016","kcal/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","664","Food supply (kcal/capita/day)","0232","Eggs, other bird, in shell","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","664","Food supply (kcal/capita/day)","0232","Eggs, other bird, in shell","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","665","Food supply quantity (g/capita/day)","0232","Eggs, other bird, in shell","2014","2014","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","665","Food supply quantity (g/capita/day)","0232","Eggs, other bird, in shell","2015","2015","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","665","Food supply quantity (g/capita/day)","0232","Eggs, other bird, in shell","2016","2016","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","665","Food supply quantity (g/capita/day)","0232","Eggs, other bird, in shell","2017","2017","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","665","Food supply quantity (g/capita/day)","0232","Eggs, other bird, in shell","2018","2018","g/capita/day","0","Fc","Calculated data"
